             Type,    Format de printf,     Taille en octet,      Taille en bits
            char ,                  %d,                   1,                   8
   unsigned char ,                  %u,                   1,                   8
           short ,                  %d,                   2,                  16
  unsigned short ,                  %u,                   2,                  16
             int ,                  %d,                   4,                  32
    unsigned int ,                  %u,                   4,                  32
            long ,                  %d,                  10,                  80
       long long ,          %lld (C99),                  10,                  80
           float ,        %f ; %g ; %e,                   4,                  32
          double ,        %f ; %g ; %e,                  10,                  80
